author_id,paper_id,year_citation
26,295803,1984
26,297442,1996
26,297442,2000
26,298663,1995
26,300613,1993
26,300613,1995
26,300958,1984
26,300977,1993
26,300978,1993
26,300981,1993
26,300981,1995
26,301916,1992
26,303284,1981
26,303284,1984
26,303302,1985
26,303318,1981
26,303318,1984
26,303327,1993
26,304027,1992
26,304027,2001
26,305034,1984
26,306173,1993
26,306173,1995
26,306462,1984
26,306462,1993
26,306465,1984
26,306466,1984
26,306495,1990
26,306495,1992
26,306495,1993
26,306512,1981
26,308081,1984
26,308704,1999
26,308802,1999
26,308806,2000
26,310220,1995
26,311658,2001
26,313345,2000
26,313890,1984
26,313890,1996
26,315686,2000
26,316944,1984
26,318330,1986
26,321267,1977
26,322763,1995
26,323680,1984
26,324497,1984
26,324497,1984
26,324497,1985
26,324497,1989
26,324518,1984
26,324518,1985
26,324518,1989
26,324518,1991
26,325307,1984
26,325418,1996
26,325418,1998
26,325418,2000
26,327141,1998
26,327509,1984
26,327619,1982
26,327619,1984
26,327628,1984
26,327629,1984
26,327633,1982
26,327633,1984
26,327637,1984
26,328313,2001
26,328313,2003
26,328399,2001
26,328399,2003
26,328400,2000
26,330566,1995
26,331416,1995
26,331968,1993
26,333083,1984
26,336428,1984
26,337284,1984
26,338567,1984
26,338573,1990
26,338573,1993
26,339947,1984
26,341377,1989
26,341377,1990
26,341377,1993
26,342119,1993
26,342525,1996
26,342525,1997
26,342525,1998
26,342525,2000
26,343611,1988
26,343611,1990
26,343611,1992
26,343611,1992
26,343612,1984
26,343613,1984
26,343614,1984
26,344529,2001
26,344620,1976
26,344620,1984
26,344620,1989
26,344620,1992
26,344620,1993
26,345895,1984
26,345895,1993
26,345947,1990
26,345960,1990
26,347246,1992
26,347246,1995
26,347361,1977
26,347361,1984
26,348879,1977
26,348879,1984
26,348889,1984
26,348890,1984
26,350040,1981
26,350040,1984
26,350040,1987
26,350040,1989
26,350190,1999
26,350190,1999
26,350190,2000
26,350190,2000
26,350190,2001
26,350190,2002
26,350190,2003
26,350190,2004
26,350190,2004
26,354718,1984
26,355037,1984
26,356073,1984
26,357092,1984
26,358487,2005
26,359428,1984
26,360028,2001
26,360082,1984
26,360164,1987
26,360164,1989
26,360164,1990
26,360250,1997
